bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_boundary_penalty,objective_density_floor_penalty,objective_density_ratio,objective_main,objective_negative_penalty,objective_physics_penalty,objective_total,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.7974890818187343,14.496109008789062,0.07974890818187344,0.0,1.013014995355416,0.3589302295636628,0.0,0.001328273955732584,0.4400074117012688,0.02656547911465168,2823.804,0.08349,0.5671021193070725,4.699233230436254,4.427409239473931,4.0,5.2663353497433265,6.602366653092464,27.66770805206577,0.3950896489784933,28,0.4400074117012688,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8045784214686396,14.599907875061035,0.08045784214686397,0.0,0.9978279124133538,0.359885361268217,0.0,0.001368504110723734,0.44171170752580474,0.027370082214474678,2823.804,0.08349,1.4452980968770945,3.8001483574915826,4.157404560509704,4.0,5.245446454368677,6.120245379950524,27.102031197425234,0.9968030665206395,29,0.44171170752580474,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.847265579120789,18.867502212524414,0.0847265579120789,0.0,0.9915336717260019,0.4230250608546181,0.0,0.0013696490786969662,0.509121267845394,0.027392981573939323,2823.804,0.08349,1.129112672510865,2.9869452145196504,5.3682268329057585,5.0,4.116057887030515,3.0252786464471315,23.605568081599706,1.3673360082333512,30,0.509121267845394,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.86933236186476,19.776626586914062,0.08693323618647601,0.0,0.9992191295962045,0.43425195144574114,0.0,0.0013499923050403597,0.5225351799372575,0.02699984610080719,2823.804,0.08349,0.8993176973675244,4.461287403778708,4.333446869858106,4.0,5.360605101146232,2.31170598686297,23.754126391447898,0.8802344167933457,31,0.5225351799372575,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.9039358332648453,22.909915924072266,0.09039358332648453,0.03004303164315547,0.9469956968356844,0.45718164941493494,0.0,0.0012204632163047792,0.5788387276008797,0.02440926432609558,2823.804,0.08349,0.8900601334223975,8.208515709583851,2.1587493300144085,2.0,9.098575843006248,3.9592440494509606,22.156395735463455,3.3916876168759864,32,0.5788387276008797,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8313849908431458,16.136085510253906,0.08313849908431459,0.0,0.982639429830656,0.4002256612804269,0.0,0.001367450226098299,0.4847316105908398,0.02734900452196598,2823.804,0.08349,0.6069117936361603,4.146126665179817,4.112451660789869,4.0,4.753038458815977,6.160988113125087,25.173141948388995,1.8979285139326922,33,0.4847316105908398,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8865318247006654,20.64684295654297,0.08865318247006654,0.0,0.9761437905783387,0.45002148921266377,0.0,0.0013231078162789347,0.5399977794990092,0.02646215632557869,2823.804,0.08349,0.6299730027040958,5.452673847935812,2.5611649250358663,3.0,6.082646850639908,4.46846847158457,22.716409023504298,2.1561944534245048,34,0.5399977794990092,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8148149306203767,14.903642654418945,0.08148149306203767,0.0,1.0126608643006194,0.370456337501304,0.0,0.0013025734573602677,0.453240404020702,0.026051469147205353,2823.804,0.08349,0.890451606464185,3.4208879831609016,4.261492526392997,4.0,4.311339589625087,9.496790966351108,26.742149324851457,0.2383829266587345,35,0.453240404020702,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8250606690002454,17.779937744140625,0.08250606690002454,0.08768299915635658,0.9412317000843643,0.38736550038237594,0.0,0.001376869808882475,0.5589314362476395,0.027537396177649498,2823.804,0.08349,0.8948151918601872,3.102278182235633,5.7508511843142145,6.0,3.99709337409582,3.7784293368622626,27.760989581437183,3.344356870486405,36,0.5589314362476395,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8579264555297793,18.842056274414062,0.08579264555297794,0.1925956279529828,0.9307404372047017,0.4212723591216567,0.0,0.001385897118598223,0.7010465297462156,0.027717942371964455,2823.804,0.08349,0.8089784782003888,3.233396757615829,3.7165323569381687,4.0,4.042375235816218,7.529439837939198,23.69894078120407,4.790914802165835,37,0.7010465297462156,ood:cond:pp:2823.8 outside [505.725,2097.14]
