model_id,model,family,train_size,n_test_cases,source_spatial_summary,case_macro_mean_relative_rmse,case_macro_median_relative_rmse,case_macro_p90_relative_rmse,case_macro_worst_relative_rmse,case_macro_std_relative_rmse,case_macro_mean_relative_gradient_error,case_macro_median_relative_gradient_error,case_macro_p90_relative_gradient_error,case_macro_worst_relative_gradient_error,case_macro_std_relative_gradient_error,case_macro_mean_relative_rmse_ratio_vs_n54,case_macro_mean_relative_gradient_error_ratio_vs_n54
deeponet_pod,DeepONet,Neural operator,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.049670473037203955,0.04604085923688057,0.071995022906713,0.07756573609490484,0.016500793289150707,0.1119261491449808,0.10295809090922636,0.14588676614100166,0.16490671719379232,0.027949113874421665,1.7382581529888097,1.3272506951428982
deeponet_plasma,DeepONet Plasma,Neural operator,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.17007891548274132,0.15922817112131132,0.2179104477202619,0.23138061364608792,0.030962080462254283,0.6056848618418719,0.5856437886668356,0.6888215316742394,0.7094710901258813,0.05671989525793358,1.119514400401532,1.0972988372776338
global_mlp,Global MLP,Neural network,48,13,runs/gec_ccp_global_mlp_regularized_v1/evaluation/spatial/n48/spatial_plot_summary.csv,0.2096630305101882,0.17471378358868359,0.32115275045793484,0.46229531705011423,0.12340613221198288,0.4040235476930121,0.38077217184632733,0.7050726265036169,0.7404402408431582,0.21565971518849317,1.241248236600034,1.2191116078519577
global_resmlp,ResMLP,Neural network,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.05343165299089063,0.04691939317075224,0.09525681248354709,0.12217226541882056,0.03311183442091051,0.16760076063336818,0.14526931271147475,0.297435355783469,0.45508767884904167,0.1272592483470483,1.1672167994160696,1.2414766034277285
global_densemlp,DenseMLP,Neural network,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.052623356089726264,0.04066214133192053,0.127644727499367,0.15035389432428636,0.04399975372007152,0.11122386239573,0.09100976241113136,0.24886449713624115,0.28154009360079124,0.08089160860512212,0.8070470615790383,0.8663735938655278
unet,U-Net,Neural network,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.041332057700623794,0.0392992681757852,0.05540378898578964,0.05787875189660751,0.011060609867703299,0.20975143701067292,0.20239362154227375,0.2859801176702713,0.3437179903915996,0.07346612025449811,1.1507949841557348,1.108062709560221
unetpp,U-Net++,Neural network,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.05588995888453082,0.04919209419402431,0.07570344002916607,0.07695865925203356,0.01486691175138359,0.26036754491288994,0.22914977077533397,0.3529040232367111,0.41822540351174586,0.08895675061933647,1.0310540871031062,1.0319652963829207
fno,FNO,Neural operator,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.030011439052693538,0.03078157314747369,0.03852244698954602,0.0400393591711377,0.006397144755910044,0.17054437736037345,0.17797650603193116,0.21779158813910257,0.2432742660612323,0.03854343980336776,1.0827193509014397,1.0261658482188498
ffno,FFNO,Neural operator,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.019931564715921283,0.019137732918556617,0.026075149171557937,0.026569415002691433,0.004526121251773507,0.1287486238716376,0.12893996251210732,0.17443087992240505,0.18966013876752358,0.0340614580837288,1.0824178982932222,1.0477957129830893
u_no,U-NO,Neural operator,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.01217104354895728,0.012518256903076017,0.01513164625746788,0.016468924334246713,0.002584662075806363,0.09752378237325864,0.09548384862212404,0.13366700946994542,0.13926411372747308,0.02520653036407352,1.03895105548898,1.0150526488426561
