case_id,case_index,var,n_points,integral_true,integral_pred,integral_rel_error,p95_true,p95_pred,p95_rel_error,p99_true,p99_pred,p99_rel_error,peak_location_error_px,center_of_mass_error_px,profile_rmse_r,profile_rmse_z,grad_rmse,top10_rmse,shape_corr,distribution_error_score
case_g039_op03,33.0,ne,128000.0,6.845571032428285e+21,6.333162728984146e+21,0.07485252888572776,1.145934262831153e+17,1.1289845566495784e+17,0.014791167985237217,1.2274051066269533e+17,1.1634701392773381e+17,0.05208953996070267,164.07315441594946,25.58800706208943,1.013449951028534e+16,5718899961432479.0,1192802713359088.8,8081857094061346.0,0.940012506136371,0.1211398325733885
case_g004_op01,34.0,ne,128000.0,5.465899591064456e+22,5.103768744685766e+22,0.0662527440077192,9.917958752168837e+17,8.400393115382316e+17,0.15301189233668305,1.0769123599243747e+18,9.190165033349283e+17,0.1466190401979735,32.802438933713454,10.143225730662847,6.398449687899859e+16,3.785298734420017e+16,3319297672426763.0,1.5871130681558794e+17,0.9770960813804355,0.13802574527601075
case_g055_op06,35.0,ne,128000.0,9.474004995372548e+22,8.473119029313082e+22,0.10564549697285727,1.794990005788501e+18,1.5268526205188436e+18,0.14938099064895366,1.9645403599020544e+18,1.6337521547442493e+18,0.16837943974553776,19.235384061671343,8.855281383366682,1.0959490078639531e+17,1.0084887717293757e+17,5675455342692207.0,2.885367543827717e+17,0.9885996002503606,0.1379144339221323
case_g040_op04,36.0,ne,128000.0,3.058481725045155e+22,2.8227174238057797e+22,0.07708540460083817,5.737780470108651e+17,5.199261098120839e+17,0.09385499755406543,6.132133750068216e+17,5.424306877223246e+17,0.11542913147272695,32.31098884280702,19.062314295430184,4.323713546999164e+16,2.185441144553555e+16,2197938354682530.5,8.229103426176581e+16,0.9791338998027157,0.12067236233594979
case_g019_op06,37.0,ne,128000.0,2.759409804474556e+21,2.040796834490977e+21,0.2604227066303464,5.045589367293214e+16,3.75838867799933e+16,0.25511404032160145,5.2175006345210104e+16,3.916851577989627e+16,0.24928584539612395,152.88230767489088,6.671646821418286,7182700117647959.0,6638773190348184.0,834618980752189.9,1.4432049668911462e+16,0.9695457901758846,0.2812073793158387
case_g045_op03,38.0,ne,128000.0,7.629535384995501e+21,4.887151158704888e+21,0.3594431492753644,1.5418523110458e+17,9.885645780465744e+16,0.3588461287994207,1.6012580103254966e+17,1.0558171318954491e+17,0.34063272434101527,79.37883848986453,10.055419043053611,2.7425030113270948e+16,2.3415736662030612e+16,1296514249557080.0,6.006671814443178e+16,0.9796818318270691,0.34120922044205965
case_g028_op02,39.0,ne,128000.0,9.089996353479594e+22,7.260900405316637e+22,0.20122075708674958,1.766134319549933e+18,1.339948040790527e+18,0.24131022994220044,1.8892098317346614e+18,1.4473304928923576e+18,0.23389637901501537,57.56735185849702,31.0524413071582,2.4966959450310774e+17,1.6706778572510227e+17,6330853813627526.0,5.1157083279002765e+17,0.9455725413938515,0.24740289931181506
case_g035_op06,40.0,ne,128000.0,1.8379886654500951e+22,1.6683352689605142e+22,0.09230383172577152,3.347688808345763e+17,3.2765240692891974e+17,0.021257871663325635,3.586441109707948e+17,3.4346695823632365e+17,0.042318142889308664,10.816653826391969,5.609403886814706,1.88224347237592e+16,1.4863882235249894e+16,1781021755735920.0,1.672606114204783e+16,0.988376448724565,0.05397304697107829
case_g049_op01,41.0,ne,128000.0,4.4037855907201784e+21,2.5188169138825923e+21,0.4280337082735505,8.458160442693386e+16,4.451401987879076e+16,0.4737151159476483,8.75466277123837e+16,4.61877468156081e+16,0.47242117689160606,132.81566172707193,17.899770595906716,1.881119976478418e+16,1.6496122053001684e+16,921159293811327.5,4.089611794295728e+16,0.97218518909464,0.4430904189064975
case_g018_op01,42.0,ne,128000.0,9.954879672280587e+22,8.237949354352478e+22,0.1724712276240676,1.7636158469348257e+18,1.3293175775441185e+18,0.2462544607690615,1.8901222545870236e+18,1.4251643755849108e+18,0.24599354770504106,32.38826948140329,25.05250170487412,2.1863538047436944e+17,1.5514622770003357e+17,6219542708441139.0,4.8191048245574694e+17,0.961189036934195,0.23172740937869132
