case,radial_bin,radius_cm,comsol_bohm_flux_m2_s,formal_dimension_bohm_flux_m2_s,formal_sdf_bohm_flux_m2_s,e1_causal_em_bohm_flux_m2_s
spacing_right,9,13.016482386627139,1.9870679320486445e+20,2.3655410178471022e+20,2.0738250897510777e+20,2.0236863221983763e+20
spacing_right,10,13.762059862103577,1.961492121869229e+20,2.263267855539194e+20,2.0591382445121107e+20,2.0131018681663413e+20
spacing_right,11,14.46916776999303,1.9152197824113194e+20,2.1709461273945847e+20,1.9672436143955526e+20,2.024295248851897e+20
spacing_right,12,15.143221548036674,1.8592107823832295e+20,2.0555121304605085e+20,1.8334863724212657e+20,1.919974314183931e+20
spacing_right,13,15.788471896905213,1.7900830184482328e+20,1.9840768610740663e+20,1.729135548643993e+20,1.8523600443341813e+20
spacing_right,14,16.408328455119364,1.712350054549801e+20,1.9347336274143406e+20,1.6664252537086185e+20,1.7848367813780488e+20
spacing_right,15,17.005576122987115,1.6343364668313833e+20,1.815383379128379e+20,1.6174835014675903e+20,1.673381913280253e+20
spacing_right,16,17.582524633399615,1.556167604965156e+20,1.7251452902863238e+20,1.5731672553149792e+20,1.5594671452067417e+20
spacing_right,17,18.141114965062243,1.481353626542748e+20,1.714623730056459e+20,1.563564358752202e+20,1.5265909392659238e+20
spacing_right,18,18.682996920004733,1.4178928240247585e+20,1.655367513696262e+20,1.4869272935284972e+20,1.4574431162500034e+20
spacing_right,19,19.209586883824628,1.3878227435376088e+20,1.566731522241069e+20,1.3874115304171954e+20,1.4079086637924675e+20
spacing_right,20,19.72211162979255,1.490725172094618e+20,1.721236880085932e+20,1.5192365606766736e+20,1.5339478124713047e+20
size_gradient,1,2.245806168292391,1.7260988616986113e+20,1.8688006284093473e+20,1.4819261421423886e+20,1.6771885423720196e+20
size_gradient,2,5.39165330402977,1.920290357126864e+20,2.1975294247949674e+20,1.6961824160672645e+20,1.817791308823807e+20
size_gradient,3,7.0265064942610564,2.06034417511082e+20,2.3715451664096454e+20,1.909194220522814e+20,2.0018937625985158e+20
size_gradient,4,8.334719221586703,2.15777738226125e+20,2.4733307758534794e+20,1.9389768758651765e+20,2.108370725341589e+20
size_gradient,5,9.460321692019834,2.2102739816539433e+20,2.4667544140463384e+20,2.046204856933237e+20,2.161028677608612e+20
size_gradient,6,10.464150973336217,2.2291235823010975e+20,2.4499815191473907e+20,2.1076532543836973e+20,2.165871270370005e+20
size_gradient,7,11.379082535111348,2.2144469497371125e+20,2.429284740685906e+20,2.1554330116345653e+20,2.1640748038812552e+20
size_gradient,8,12.2253505582234,2.169090830478815e+20,2.4285214517024345e+20,2.2369918701602016e+20,2.141574184999033e+20
size_gradient,9,13.016482386627139,2.104233715432176e+20,2.3655410178471022e+20,2.2132865843419172e+20,2.0737024171372203e+20
size_gradient,10,13.762059862103577,2.032632603406505e+20,2.263267855539194e+20,2.1686986120821804e+20,2.0377352440225513e+20
size_gradient,11,14.46916776999303,1.9437816260916245e+20,2.1709461273945847e+20,2.032556235134665e+20,1.9782334781238267e+20
size_gradient,12,15.143221548036674,1.849821235660632e+20,2.0555121304605085e+20,1.8881567229758145e+20,1.839672845999659e+20
size_gradient,13,15.788471896905213,1.7479875210774017e+20,1.9840768610740663e+20,1.8194108137721417e+20,1.7439429714922494e+20
size_gradient,14,16.408328455119364,1.642990644332388e+20,1.9347336274143406e+20,1.8110826209813175e+20,1.625814345360116e+20
size_gradient,15,17.005576122987115,1.5426969656226916e+20,1.815383379128379e+20,1.7552200757814952e+20,1.492446033484581e+20
size_gradient,16,17.582524633399615,1.4467314959569319e+20,1.7251452902863238e+20,1.6330137923185128e+20,1.3973343198046993e+20
size_gradient,17,18.141114965062243,1.357847430008597e+20,1.714623730056459e+20,1.5779851916655755e+20,1.3991923406676607e+20
size_gradient,18,18.682996920004733,1.2817874229274575e+20,1.655367513696262e+20,1.5008310777187054e+20,1.363063291997697e+20
size_gradient,19,19.209586883824628,1.2381501180966448e+20,1.566731522241069e+20,1.3984137465598319e+20,1.3107392079342137e+20
