bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_ratio,objective_main,objective_negative_penalty,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.6210812218721934,13.857645988464355,1.058782453010734,0.2574682356491277,0.0,0.2574682356491277,0.2726028501129291,0.03659278154373169,2835.171232397973,0.06912968184161186,0.9378857612609863,5.209069229662418,2.0,2.0,6.146954990923405,8.12531042098999,20.4192204028368,4.92810994386673,61,0.2574682356491277,"ood:cond:pp:2835.17 outside [505.725,2097.14]"
0.0,0.5126539869711899,8.339207649230957,0.3779876607277246,0.6547540527275497,0.0,0.6547540527275497,0.24748895274248378,0.05298611521720886,726.8935008414313,0.07388618960928917,1.3629200458526611,7.917079389095306,2.0,2.0,9.279999434947968,9.063780307769775,27.62377917766571,0.0016218659584410489,62,0.6547540527275497,
0.0,0.5247899719147857,8.413613319396973,0.5084162822203527,0.5212046383400162,0.0,0.5212046383400162,0.26498892450083456,0.050409164279699326,925.2154082717002,0.07942865357255935,1.4716027975082397,6.681070566177368,2.0,2.0,8.152673363685608,9.743774890899658,26.049121618270874,1.6948594152927399,63,0.5212046383400162,
0.0,0.5286633915033663,8.894436836242676,0.11326882806511752,1.6379412466043295,0.0,1.6379412466043295,0.18552768544239007,0.0675901547074318,650.2382205190956,0.037842001333713536,1.0340340733528137,11.063680410385132,2.0,2.0,12.097714483737946,5.2460761070251465,29.441505074501038,4.955810606479645,64,1.6379412466043295,
0.0,0.6532126121929149,16.024473190307617,1.6618055134802012,0.15616134967217557,0.0,0.15616134967217557,0.259509791877731,0.030914414674043655,2829.7721103215217,0.08701098587441444,1.1901618838310242,9.142137050628662,2.0,2.0,10.332298934459686,2.822147488594055,23.486745357513428,0.2952955476939678,65,0.15616134967217557,"ood:cond:pp:2829.77 outside [505.725,2097.14]"
0.0,0.6030554578412957,9.793791770935059,0.8990589852807034,0.34736994894587037,0.0,0.34736994894587037,0.31230607381628395,0.04337948560714722,948.0362837908715,0.09081014631605148,0.6072068810462952,6.000720292329788,2.0,2.0,6.607927173376083,7.457653999328613,20.67350834608078,1.7579807341098785,66,0.34736994894587037,
0.0,1.0762546523314596,29.663223266601562,7.741710841548138e-06,77948.11301072076,0.0,77948.11301072076,0.6034517515733163,0.12031115591526031,1216.3614198532998,0.003027384978371381,0.5268827620893717,8.38682252727449,2.0,2.0,8.913705289363861,8.521823406219482,26.349233984947205,3.260713219642639,67,77948.11301072076,
0.0,0.5092783404202974,8.691174507141113,0.2478203677787519,1.0084704100014166,0.0,1.0084704100014166,0.2499195079005398,0.06231396645307541,911.2806219042242,0.04866508522593975,1.069094717502594,8.676716446876526,2.0,2.0,9.74581116437912,9.86569595336914,29.35731828212738,0.20463448017835617,68,1.0084704100014166,
0.0,0.5646388547085913,11.152281761169434,0.1648328745276903,1.3101289381891448,0.0,1.3101289381891448,0.21595231888362743,0.05369630083441734,2724.3540250748392,0.02116944501912594,1.3286578059196472,6.4151318073272705,2.0,2.0,7.743789613246918,9.810522079467773,25.29810130596161,4.950582683086395,69,1.3101289381891448,"ood:cond:pp:2724.35 outside [505.725,2097.14]"
0.0,0.5758203364904638,11.099162101745605,0.5052730096929554,0.4155607144582544,0.0,0.4155607144582544,0.20997161290447705,0.047514159232378006,1721.3602511954905,0.04851242341172695,1.0572893619537354,7.36192786693573,2.0,2.0,8.419217228889465,6.10302734375,22.94146180152893,0.008095295052044094,70,0.4155607144582544,
0.0,0.6332937570611339,14.886394500732422,1.6115675249667807,0.18017630543213273,0.0,0.18017630543213273,0.29036628260292086,0.033442724496126175,2574.68035343647,0.0894464720711708,1.42556893825531,8.644027635455132,2.0,2.0,10.069596573710442,2.3385400474071503,22.477733194828033,3.5798245668411255,71,0.18017630543213273,"ood:cond:pp:2574.68 outside [505.725,2097.14]"
0.0,0.556177935232637,12.12243938446045,0.6083563339256409,0.3147409730309338,0.0,0.3147409730309338,0.1914746644892879,0.042613327503204346,2821.0854091619253,0.05255125967049599,1.382419466972351,7.817171573638916,2.0,2.0,9.199591040611267,5.650769948959351,24.049952030181885,4.944815635681152,72,0.3147409730309338,"ood:cond:pp:2821.09 outside [505.725,2097.14]"
0.0,0.6304627419245923,11.38823127746582,0.19425177411601316,1.3780221325297806,0.0,1.3780221325297806,0.2676832440150417,0.05763908103108406,856.2117397031933,0.0312200715559721,1.4509560465812683,4.598692450206727,2.0,2.0,6.049648496787995,7.9564361572265625,20.055733150802553,1.0994799435138702,73,1.3780221325297806,
0.0,0.632039047713726,10.951401710510254,1.341738311265538,0.2531021236268207,0.0,0.2531021236268207,0.3395968159327719,0.03954627737402916,1160.2170317616165,0.09927727436590195,1.4623744487762451,6.449314573779702,2.0,2.0,7.911689022555947,4.414263010025024,20.23764105513692,0.5795765295624733,74,0.2531021236268207,
0.0,0.5623137765684039,10.302854537963867,0.34409548730652156,0.5163147597373411,0.0,0.5163147597373411,0.17766157885536998,0.05455519258975983,1278.9259154676497,0.04779697911047936,1.3566972017288208,9.294129014015198,2.0,2.0,10.650826215744019,4.190258741378784,25.49191117286682,2.930655777454376,75,0.5163147597373411,
0.0,0.6271936276988399,10.736241340637207,0.6691527286030934,0.5263259515729807,0.0,0.5263259515729807,0.3521924466296796,0.04604678601026535,791.19226317662,0.07763517440891265,0.8997436463832855,8.509961403906345,2.0,2.0,9.409705050289631,2.1903814673423767,21.00979156792164,2.326401174068451,76,0.5263259515729807,
0.0,0.6942207202670813,35.93053436279297,0.00557440824603129,59.23776260680334,0.0,59.23776260680334,0.33021547235180854,0.083035409450531,1482.6164514333605,0.007959652797400952,1.1054458022117615,9.167701780796051,2.0,2.0,10.273147583007812,4.817257404327393,25.363552570343018,3.3490848541259766,77,59.23776260680334,
