measurement_id,case_id,method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,64,1.4037173221924286,0.12394667751263687,0.05872638362411467,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2144247458087888,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,65,2.4033719306413084,0.11930477564419144,0.06618995966453728,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2619543525983824,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,66,1.9545510695889798,0.12518429699068806,0.05999693833965403,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.08759325083301651,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,67,2.457940634048058,0.10131026726378467,0.0687756369503959,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.1907217408599325,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,68,1.6645546781349383,0.13352381629563692,0.07960600771578814,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.0772897344943486,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,69,1.4514154539775315,0.15359981448683965,0.06410458754582442,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.11907819966044195,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,70,1.885638405663066,0.12003697533787736,0.06330924629984033,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.060066602838456315,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,71,1.5181159452288515,0.1461548580598567,0.06931714819183364,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.10579487133217305,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,72,1.6254440678601025,0.12673682929845353,0.06402359785294999,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.10894973324071104,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,73,3.203007836233466,0.058007004156462205,0.07082064398128404,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.14063992478504356,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,74,1.4297953587204915,0.14804382658141085,0.06084696491678479,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.14132917328302944,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,75,1.7691328336391758,0.11771455556606614,0.0678113120504328,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.07959884261261264,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,76,1.6186302538953339,0.1402721583187046,0.06976633525419364,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.07994378985847932,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,77,1.4338790813140616,0.14490320133335313,0.06628924577606102,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.14602891178946775,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,78,1.4096938100124035,0.14534525839094095,0.07431875675408482,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.15517820987765227,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,79,1.4936106462709413,0.13885729008135408,0.06341937794449215,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.13393048093361198,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,80,1.5723833055545569,0.12389091273293831,0.0742191865026865,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.1381252525984519,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,81,1.6448728251363756,0.1336478841527119,0.061147461252726555,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.0849400288503128,0.05504905143876742,True
